id,name,category,description
E101,Apex Wireless Noise-Canceling Headphones,Electronics,"Experience premium sound with these over-ear wireless Bluetooth headphones. Features active noise cancellation (ANC), 40-hour battery life, built-in microphone for clear calls, and deep bass. Ideal for travel, office, or study."
E102,Chronos Smartwatch & Fitness Tracker,Electronics,"Stay connected and track your health with this sleek smartwatch. Monitor heart rate, sleep quality, steps, and calories. Features a waterproof touch display, GPS tracking, and notifications for calls and messages."
E103,Aura SoundBar Pro,Electronics,"Upgrade your home theater setup with this 2.1 channel wireless Bluetooth soundbar. Comes with a wireless subwoofer, Dolby Audio support, and optical/auxiliary inputs for immersive room-filling cinematic sound."
E104,Vivid 4K Ultra HD Projector,Electronics,"Bring the movie theater experience home. This portable smart projector supports 4K resolution, dual-band Wi-Fi, wireless screen mirroring, and built-in stereo speakers. Perfect for outdoor movie nights and gaming."
E105,Zenith Ergonomic Wireless Mouse,Electronics,"Work in comfort with this ergonomic wireless optical mouse. Precision tracking, adjustable DPI, silent clicks, and rechargeable battery. Reduces wrist strain during long hours of computer or laptop use."
E106,Nova Dual-Port USB-C Fast Charger,Electronics,"Compact fast-charging wall adapter with dual USB-C ports. Powered by GaN technology for cooler, safer, and faster charging of laptops, smartphones, tablets, and wireless headphones."
E107,Eclipse Bluetooth Pocket Speaker,Electronics,"Compact and portable wireless Bluetooth speaker with crystal clear sound and rich bass. Waterproof IPX7 design makes it perfect for travel, outdoor camping, beach parties, and shower use."
F201,FlexiCore Non-Slip Yoga Mat,Fitness & Outdoors,"Eco-friendly, extra thick non-slip yoga mat made from natural rubber. Offers excellent cushioning, durability, and grip for yoga, pilates, stretching, and home floor workouts. Includes a carrying strap."
F202,HydroFlow Insulated Water Bottle,Fitness & Outdoors,"Double-walled vacuum insulated stainless steel water bottle. Keeps drinks ice cold for 24 hours or piping hot for 12 hours. Leak-proof lid with straw, BPA-free, ideal for gym, hiking, sports, and daily hydration."
F203,Titan Adjustable Dumbbell Set,Fitness & Outdoors,Space-saving adjustable dumbbells for home strength training. Quickly adjust weight plates from 5 to 52.5 lbs with a simple turn of a dial. Durable mold plates ensure quiet and smooth workouts.
F204,Trailblazer Waterproof Backpack,Fitness & Outdoors,"Lightweight, waterproof hiking backpack with 40L capacity. Features multiple compartments, breathable mesh shoulder straps, hydration sleeve, and rain cover. Perfect for outdoor camping, travel, and trekking."
F205,AeroStep Resistance Bands Set,Fitness & Outdoors,"Set of 5 stackable latex resistance workout bands with handles, ankle straps, and door anchor. Ideal for physical therapy, strength training, muscle building, and home fitness routines."
F206,PulseRun Folding Treadmill,Fitness & Outdoors,"Foldable electric treadmill for home cardio training. Features LCD display, built-in workout programs, heart rate sensors, and shock-absorbing running deck. Easily folds for compact under-bed storage."
H301,CrispAir Digital Air Fryer,Home & Kitchen,"Cook healthier meals with 85% less oil. This 5.8-quart digital air fryer features 10 one-touch cooking presets, rapid air circulation, nonstick dishwasher-safe basket, and a recipe cookbook included."
H302,Barista Touch Espresso Machine,Home & Kitchen,"Premium stainless steel espresso machine with integrated conical burr grinder. Features PID temperature control, steam wand for milk texturing, and touch screen interface. Brew barista-quality espresso, latte, and cappuccino at home."
H303,SmartGlow LED Smart Light Bulbs,Home & Kitchen,"Energy-efficient Wi-Fi enabled RGB color-changing smart LED light bulbs. Dimmable, compatible with Alexa and Google Assistant for voice control. Schedule lighting via mobile app without a hub."
H304,Thermoshield Precision Sous Vide Cooker,Home & Kitchen,"Achieve restaurant-quality results at home with this precision immersion circulator. Features Wi-Fi connectivity, app control, accurate temperature adjustment, and quiet operation for cooking steak, fish, and vegetables."
H305,EverClean Robotic Vacuum Cleaner,Home & Kitchen,"Smart robotic vacuum cleaner with powerful suction, self-charging dock, and anti-drop sensors. Cleans pet hair, carpets, and hard floors automatically. Control via remote or smart home voice assistant."
H306,ChefCut Professional Knife Block Set,Home & Kitchen,"15-piece kitchen knife set made from high-carbon German stainless steel. Includes chef's knife, utility knife, bread knife, steak knives, kitchen shears, and built-in sharpener in the wooden block."
H307,PureBrew Pour-Over Coffee Maker,Home & Kitchen,Elegant glass pour-over coffee maker with permanent stainless steel mesh filter. Extracts rich flavor and aromatic oils from coffee grounds. High-quality borosilicate glass design.
B401,Echoes of the Cosmos (Sci-Fi Novel),Books & Stationery,"An epic sci-fi space opera novel exploring deep space exploration, AI consciousness, and alien contact. A thrilling, thought-provoking read that delves into the future of humanity among the stars."
B402,Monarch Classic Fountain Pen,Books & Stationery,"Elegant fine-nib fountain pen crafted for writers and executives. Features a polished metal body, smooth ink flow, and refillable converter. Delivered in a luxury gift box with premium black ink cartridge."
B403,Heritage Leather Bound Journal,Books & Stationery,"Handcrafted genuine leather journal with unlined refillable cream-colored pages. Perfect as a travel diary, sketchbook, or daily planner. Sturdy binding and classic wrap-around leather strap."
B404,Mindfulness & Zen Coloring Book,Books & Stationery,"Relax and unwind with this beautiful coloring book designed for adults. Features 50 intricate mandalas, botanical illustrations, and patterns to promote mindfulness, stress relief, and artistic expression."
B405,The Art of Machine Learning (Textbook),Books & Stationery,"Comprehensive textbook covering machine learning fundamentals, deep neural networks, natural language processing (NLP), and AI recommendation systems. Includes practical Python code examples and exercises."
B406,ProSketch Architectural Drawing Pens,Books & Stationery,"Set of 8 waterproof archival black ink micro-line pens for drawing, sketching, drafting, and technical illustration. Varied tip sizes from 0.05mm to brush tip. Non-toxic and bleed-free."
A501,Stratus Lightweight Running Shoes,Apparel & Accessories,"Breathable mesh running sneakers for men and women. Engineered with shock-absorbing memory foam insoles, lightweight flexible outsoles, and snug fit to support high-performance workouts, jogging, and walking."
A502,Navigator Polarized Sports Sunglasses,Apparel & Accessories,"Durable polarized sunglasses providing 100% UV protection. Ergonomic lightweight frame designed for running, cycling, fishing, and outdoor sports. Reduces glare from water, snow, and asphalt."
A503,Urbanite Waterproof Commuter Backpack,Apparel & Accessories,"Sleek and secure laptop backpack for daily commute and business travel. Features waterproof exterior, padded compartment for 15.6-inch laptop, USB charging port, and anti-theft hidden pockets."
A504,ThermaFit Merino Wool Hiking Socks,Apparel & Accessories,"Pack of 3 pairs of merino wool hiking socks. Moisture-wicking, odor-resistant, and heavily cushioned to prevent blisters during outdoor trekking, running, and cold weather camping trips."
A505,Ventus Packable Windbreaker Jacket,Apparel & Accessories,"Ultra-lightweight, water-resistant windbreaker jacket. Easily packs into its own pocket. Features adjustable hood, zippered pockets, and elastic cuffs. Ideal protection for running, hiking, and travel."
A506,Chronograph Classic Leather Watch,Apparel & Accessories,"Timeless men's wrist watch featuring a genuine brown leather strap, stainless steel case, blue dial with calendar date, and quartz chronograph movement. Water resistant up to 30 meters."
